Series_Title,Released_Year,Certificate,Runtime,Genre,IMDB_Rating,Meta_score,Director,Star1,Star2,Star3,Star4,No_of_Votes,Gross,MaxTrends_movie,MaxTrends_Actor,MaxTrends_Director
star trek into darkness,2013.0,UA,132 min,"Action, Adventure, Sci-Fi",7.7,72.0,j.j. abrams,Chris Pine,Zachary Quinto,Zoe Saldana,Benedict Cumberbatch,463188,"228,778,661",1722100,308537,75000
beasts of no nation,2015.0,,137 min,"Drama, War",7.7,79.0,cary joji fukunaga,Abraham Attah,Emmanuel Affadzi,Ricky Adelayitor,Andrew Adote,73964,"83,861",362400,152168,22666
the social network,2010.0,UA,120 min,"Biography, Drama",7.7,95.0,david fincher,Jesse Eisenberg,Andrew Garfield,Justin Timberlake,Rooney Mara,624982,"96,962,694",2848000,561377,299800
x  first class,2011.0,UA,131 min,"Action, Adventure, Sci-Fi",7.7,65.0,matthew vaughn,James McAvoy,Michael Fassbender,Jennifer Lawrence,Kevin Bacon,645512,"146,408,305",1832600,202643,77100
skyfall,2012.0,UA,143 min,"Action, Adventure, Thriller",7.7,81.0,sam mendes,Daniel Craig,Javier Bardem,Naomie Harris,Judi Dench,630614,"304,360,277",18731000,242166,278266
silver linings playbook,2012.0,A,122 min,"Comedy, Drama, Romance",7.7,81.0,david o. russell,Bradley Cooper,Jennifer Lawrence,Robert De Niro,Jacki Weaver,661871,"132,092,958",2813850,995969,47200
argo,2012.0,A,120 min,"Biography, Drama, Thriller",7.7,86.0,ben affleck,Ben Affleck,Bryan Cranston,John Goodman,Alan Arkin,572581,"136,025,503",1847891,258943,2638578
harry potter and the deathly hallows  part 1,2010.0,A,146 min,"Adventure, Family, Fantasy",7.7,65.0,david yates,Daniel Radcliffe,Emma Watson,Rupert Grint,Bill Nighy,479120,"295,983,305",299266,202643,21459
flipped,2010.0,PG,90 min,"Comedy, Drama, Romance",7.7,45.0,rob reiner,Madeline Carroll,Callan McAuliffe,Rebecca De Mornay,Anthony Edwards,81446,"1,752,214",151667,202643,101484
ex machina,2014.0,UA,108 min,"Drama, Sci-Fi, Thriller",7.7,78.0,alex garland,Alicia Vikander,Domhnall Gleeson,Oscar Isaac,Sonoya Mizuno,474141,"25,442,958",402616,141664,39753
tangled,2010.0,U,100 min,"Animation, Adventure, Comedy",7.7,71.0,nathan greno,Byron Howard,Mandy Moore,Zachary Levi,Donna Murphy,405922,"200,821,936",2657516,126266,8000
searching,2018.0,U/A,102 min,"Drama, Mystery, Thriller",7.6,71.0,aneesh chaganty,John Cho,Debra Messing,Joseph Lee,Michelle La,140840,"26,020,957",1933352,160151,21366
once upon a time... in hollywood,2019.0,A,161 min,"Comedy, Drama",7.6,83.0,quentin tarantino,Leonardo DiCaprio,Brad Pitt,Margot Robbie,Emile Hirsch,551309,"142,502,728",34777,507152,1187284
the florida project,2017.0,A,111 min,Drama,7.6,92.0,sean baker,Brooklynn Prince,Bria Vinaite,Willem Dafoe,Christopher Rivera,95181,"5,904,366",364706,110729,20500
gifted,2017.0,PG-13,101 min,Drama,7.6,60.0,marc webb,Chris Evans,Mckenna Grace,Lindsay Duncan,Octavia Spencer,99643,"24,801,212",1653075,351233,22000
the peanut butter falcon,2019.0,PG-13,97 min,"Adventure, Comedy, Drama",7.6,70.0,tyler nilson,Michael Schwartz,Zack Gottsagen,Ann Owens,Dakota Johnson,66346,"13,122,642",226850,100849,0
mustang,2015.0,PG-13,97 min,Drama,7.6,83.0,deniz gamze ergüven,Günes Sensoy,Doga Zeynep Doguslu,Tugba Sunguroglu,Elit Iscan,35785,"845,464",4834771,153457,0
guardians of the galaxy vol. 2,2017.0,UA,136 min,"Action, Adventure, Comedy",7.6,67.0,james gunn,Chris Pratt,Zoe Saldana,Dave Bautista,Vin Diesel,569974,"389,813,101",569500,268174,1231400
baby driver,2017.0,UA,113 min,"Action, Crime, Drama",7.6,86.0,edgar wright,Ansel Elgort,Jon Bernthal,Jon Hamm,Eiza González,439406,"107,825,862",6199650,158846,177990
only the brave,2017.0,UA,134 min,"Action, Biography, Drama",7.6,72.0,joseph kosinski,Josh Brolin,Miles Teller,Jeff Bridges,Jennifer Connelly,58371,"18,340,051",839360,201149,20257
bridge of spies,2015.0,UA,142 min,"Drama, History, Thriller",7.6,81.0,steven spielberg,Tom Hanks,Mark Rylance,Alan Alda,Amy Ryan,287659,"72,313,754",1919700,1145640,435040
incredibles 2,2018.0,UA,118 min,"Animation, Action, Adventure",7.6,80.0,brad bird,Craig T. Nelson,Holly Hunter,Sarah Vowell,Huck Milner,250057,"608,581,744",5016000,152673,47788
moana,2016.0,U,107 min,"Animation, Adventure, Comedy",7.6,81.0,ron clements,John Musker,Don Hall,Chris Williams,Auli'i Cravalho,272784,"248,757,044",6283817,202643,15133
sicario,2015.0,A,121 min,"Action, Crime, Drama",7.6,82.0,denis villeneuve,Emily Blunt,Josh Brolin,Benicio Del Toro,Jon Bernthal,371291,"46,889,293",2824487,236656,22330
creed,2015.0,A,133 min,"Drama, Sport",7.6,82.0,ryan coogler,Michael B. Jordan,Sylvester Stallone,Tessa Thompson,Phylicia Rashad,247666,"109,767,581",9728175,181482,164200
leviafan,2014.0,R,140 min,"Crime, Drama",7.6,92.0,andrey zvyagintsev,Aleksey Serebryakov,Elena Lyadova,Roman Madyanov,Vladimir Vdovichenkov,49397,"1,092,800",35900,152007,4120
hell or high water,2016.0,R,102 min,"Action, Crime, Drama",7.6,88.0,david mackenzie,Chris Pine,Ben Foster,Jeff Bridges,Gil Birmingham,204175,"26,862,450",793133,308537,24371
philomena,2013.0,PG-13,98 min,"Biography, Comedy, Drama",7.6,77.0,stephen frears,Judi Dench,Steve Coogan,Sophie Kennedy Clark,Mare Winningham,94212,"37,707,719",985537,128549,21562
dawn of the planet of the apes,2014.0,UA,130 min,"Action, Adventure, Drama",7.6,79.0,matt reeves,Gary Oldman,Keri Russell,Andy Serkis,Kodi Smit-McPhee,411599,"208,545,589",3287900,202643,226975
end of watch,2012.0,A,109 min,"Action, Crime, Drama",7.6,68.0,david ayer,Jake Gyllenhaal,Michael Peña,Anna Kendrick,America Ferrera,228132,"41,003,371",724041,374491,39150
a star is born,2018.0,UA,136 min,"Drama, Music, Romance",7.6,88.0,bradley cooper,Lady Gaga,Bradley Cooper,Sam Elliott,Greg Grunberg,334312,"215,288,866",11987400,1659383,3962257
true grit,2010.0,PG-13,110 min,"Drama, Western",7.6,80.0,ethan coen,Joel Coen,Jeff Bridges,Matt Damon,Hailee Steinfeld,311822,"171,243,005",2033950,154390,46320
hævnen,2010.0,R,118 min,"Drama, Romance",7.6,65.0,susanne bier,Mikael Persbrandt,Trine Dyrholm,Markus Rygaard,Wil Johnson,38491,"1,008,098",50282,156165,29750
despicable me,2010.0,U,95 min,"Animation, Comedy, Crime",7.6,72.0,pierre coffin,Chris Renaud,Steve Carell,Jason Segel,Russell Brand,500851,"251,513,985",2976073,109797,25800
50_50,2011.0,R,100 min,"Comedy, Drama, Romance",7.6,72.0,jonathan levine,Joseph Gordon-Levitt,Seth Rogen,Anna Kendrick,Bryce Dallas Howard,315426,"35,014,192",545468,157034,16912
kick-ass,2010.0,UA,117 min,"Action, Comedy, Crime",7.6,66.0,matthew vaughn,Aaron Taylor-Johnson,Nicolas Cage,Chloë Grace Moretz,Garrett M. Brown,524081,"48,071,303",1169300,176205,77100
moneyball,2011.0,PG-13,133 min,"Biography, Drama, Sport",7.6,87.0,bennett miller,Brad Pitt,Robin Wright,Jonah Hill,Philip Seymour Hoffman,369529,"75,605,492",1196000,384383,56200
la piel que habito,2011.0,R,120 min,"Drama, Horror, Thriller",7.6,70.0,pedro almodóvar,Antonio Banderas,Elena Anaya,Jan Cornet,Marisa Paredes,138959,"3,185,812",290100,91687,56200
