Series_Title,Released_Year,Certificate,Runtime,Genre,IMDB_Rating,Meta_score,Director,Star1,Star2,Star3,Star4,No_of_Votes,Gross,MaxTrends_movie
harry potter and the deathly hallows  part 1,2010.0,A,146 min,"Adventure, Family, Fantasy",7.7,65.0,David Yates,Daniel Radcliffe,Emma Watson,Rupert Grint,Bill Nighy,479120,"295,983,305",299266
flipped,2010.0,PG,90 min,"Comedy, Drama, Romance",7.7,45.0,Rob Reiner,Madeline Carroll,Callan McAuliffe,Rebecca De Mornay,Anthony Edwards,81446,"1,752,214",151667
ex machina,2014.0,UA,108 min,"Drama, Sci-Fi, Thriller",7.7,78.0,Alex Garland,Alicia Vikander,Domhnall Gleeson,Oscar Isaac,Sonoya Mizuno,474141,"25,442,958",402616
tangled,2010.0,U,100 min,"Animation, Adventure, Comedy",7.7,71.0,Nathan Greno,Byron Howard,Mandy Moore,Zachary Levi,Donna Murphy,405922,"200,821,936",2657516
searching,2018.0,U/A,102 min,"Drama, Mystery, Thriller",7.6,71.0,Aneesh Chaganty,John Cho,Debra Messing,Joseph Lee,Michelle La,140840,"26,020,957",1933352
once upon a time... in hollywood,2019.0,A,161 min,"Comedy, Drama",7.6,83.0,Quentin Tarantino,Leonardo DiCaprio,Brad Pitt,Margot Robbie,Emile Hirsch,551309,"142,502,728",34777
the florida project,2017.0,A,111 min,Drama,7.6,92.0,Sean Baker,Brooklynn Prince,Bria Vinaite,Willem Dafoe,Christopher Rivera,95181,"5,904,366",364706
gifted,2017.0,PG-13,101 min,Drama,7.6,60.0,Marc Webb,Chris Evans,Mckenna Grace,Lindsay Duncan,Octavia Spencer,99643,"24,801,212",1653075
the peanut butter falcon,2019.0,PG-13,97 min,"Adventure, Comedy, Drama",7.6,70.0,Tyler Nilson,Michael Schwartz,Zack Gottsagen,Ann Owens,Dakota Johnson,66346,"13,122,642",226850
mustang,2015.0,PG-13,97 min,Drama,7.6,83.0,Deniz Gamze Ergüven,Günes Sensoy,Doga Zeynep Doguslu,Tugba Sunguroglu,Elit Iscan,35785,"845,464",4834771
guardians of the galaxy vol. 2,2017.0,UA,136 min,"Action, Adventure, Comedy",7.6,67.0,James Gunn,Chris Pratt,Zoe Saldana,Dave Bautista,Vin Diesel,569974,"389,813,101",569500
baby driver,2017.0,UA,113 min,"Action, Crime, Drama",7.6,86.0,Edgar Wright,Ansel Elgort,Jon Bernthal,Jon Hamm,Eiza González,439406,"107,825,862",6199650
only the brave,2017.0,UA,134 min,"Action, Biography, Drama",7.6,72.0,Joseph Kosinski,Josh Brolin,Miles Teller,Jeff Bridges,Jennifer Connelly,58371,"18,340,051",839360
bridge of spies,2015.0,UA,142 min,"Drama, History, Thriller",7.6,81.0,Steven Spielberg,Tom Hanks,Mark Rylance,Alan Alda,Amy Ryan,287659,"72,313,754",1919700
incredibles 2,2018.0,UA,118 min,"Animation, Action, Adventure",7.6,80.0,Brad Bird,Craig T. Nelson,Holly Hunter,Sarah Vowell,Huck Milner,250057,"608,581,744",5016000
moana,2016.0,U,107 min,"Animation, Adventure, Comedy",7.6,81.0,Ron Clements,John Musker,Don Hall,Chris Williams,Auli'i Cravalho,272784,"248,757,044",6283817
sicario,2015.0,A,121 min,"Action, Crime, Drama",7.6,82.0,Denis Villeneuve,Emily Blunt,Josh Brolin,Benicio Del Toro,Jon Bernthal,371291,"46,889,293",2824487
creed,2015.0,A,133 min,"Drama, Sport",7.6,82.0,Ryan Coogler,Michael B. Jordan,Sylvester Stallone,Tessa Thompson,Phylicia Rashad,247666,"109,767,581",9728175
leviafan,2014.0,R,140 min,"Crime, Drama",7.6,92.0,Andrey Zvyagintsev,Aleksey Serebryakov,Elena Lyadova,Roman Madyanov,Vladimir Vdovichenkov,49397,"1,092,800",35900
hell or high water,2016.0,R,102 min,"Action, Crime, Drama",7.6,88.0,David Mackenzie,Chris Pine,Ben Foster,Jeff Bridges,Gil Birmingham,204175,"26,862,450",793133
philomena,2013.0,PG-13,98 min,"Biography, Comedy, Drama",7.6,77.0,Stephen Frears,Judi Dench,Steve Coogan,Sophie Kennedy Clark,Mare Winningham,94212,"37,707,719",985537
dawn of the planet of the apes,2014.0,UA,130 min,"Action, Adventure, Drama",7.6,79.0,Matt Reeves,Gary Oldman,Keri Russell,Andy Serkis,Kodi Smit-McPhee,411599,"208,545,589",3287900
end of watch,2012.0,A,109 min,"Action, Crime, Drama",7.6,68.0,David Ayer,Jake Gyllenhaal,Michael Peña,Anna Kendrick,America Ferrera,228132,"41,003,371",724041
a star is born,2018.0,UA,136 min,"Drama, Music, Romance",7.6,88.0,Bradley Cooper,Lady Gaga,Bradley Cooper,Sam Elliott,Greg Grunberg,334312,"215,288,866",11987400
true grit,2010.0,PG-13,110 min,"Drama, Western",7.6,80.0,Ethan Coen,Joel Coen,Jeff Bridges,Matt Damon,Hailee Steinfeld,311822,"171,243,005",2033950
hævnen,2010.0,R,118 min,"Drama, Romance",7.6,65.0,Susanne Bier,Mikael Persbrandt,Trine Dyrholm,Markus Rygaard,Wil Johnson,38491,"1,008,098",50282
despicable me,2010.0,U,95 min,"Animation, Comedy, Crime",7.6,72.0,Pierre Coffin,Chris Renaud,Steve Carell,Jason Segel,Russell Brand,500851,"251,513,985",2976073
50_50,2011.0,R,100 min,"Comedy, Drama, Romance",7.6,72.0,Jonathan Levine,Joseph Gordon-Levitt,Seth Rogen,Anna Kendrick,Bryce Dallas Howard,315426,"35,014,192",545468
kick-ass,2010.0,UA,117 min,"Action, Comedy, Crime",7.6,66.0,Matthew Vaughn,Aaron Taylor-Johnson,Nicolas Cage,Chloë Grace Moretz,Garrett M. Brown,524081,"48,071,303",1169300
moneyball,2011.0,PG-13,133 min,"Biography, Drama, Sport",7.6,87.0,Bennett Miller,Brad Pitt,Robin Wright,Jonah Hill,Philip Seymour Hoffman,369529,"75,605,492",1196000
la piel que habito,2011.0,R,120 min,"Drama, Horror, Thriller",7.6,70.0,Pedro Almodóvar,Antonio Banderas,Elena Anaya,Jan Cornet,Marisa Paredes,138959,"3,185,812",290100
